1990亚运会	1990 Asian Games
回民聚居区	Treasure-hunting culture
回音壁	Nepalese craftsmen
火车站文化	Industrial Bauhaus aesthetic
祭祀礼坛	Industrial heritage site
祭祀求雨	Industrial heritage relics
交通门户	Craftsmanship spirit
交通枢纽	Changying food scene
交通重镇	Contemporary art museum
郊区生活	Hiking hotspot
郊野山林	Restored imperial carriage road
金街	Nostalgic neighborhood life
金融核心	Leisure lifestyle
金融新城	Hundred Days' Reform
金融中心	Outdoor exhibition venues
近春园	Zaha Hadid
京西古道	War of Resistance spirit
京西文脉	War of Resistance memorial
景泰蓝非遗	Ming loyalist general (vs Qing)
静宜园	Huguosi snack alley
九龙壁	Press and publishing
酒吧街	Journalists' former residences
军事史	King of interchanges
凯德MALL	Skyscrapers
抗清名将	Forbidden City
抗战纪念	Cultural renewal
抗战精神	Four Treasures of the Study
科幻展厅	Artsy photo spots
科技极客	Early PRC architecture
科普教育	Fashion hub
昆明湖西堤	Fashion showcase
篮球圣地	Trendy shopping
老北京大院	Stylish living
老城更新	Fashionable neighborhood
老城脉络	Fashion runway circuit
老城墙遗址	West embankment, Kunming Lake
老胡同	Ming dynasty pagoda
老南城历史	Ming lantern market
老南城文化	Spring flower viewing
老商圈	Cloisonné intangible heritage
老宅区	Evening drum, morning bell
老字号	Cao Xueqin's former residence
老字号美食	Punk industrial design
离宫御苑	Wangjing SOHO
历史法场	Weiming Lake
历史反思	Futuristic architecture
历史见证	Future tech
历史军事	Acrobatics and folk arts
历史名街	Beijing Forestry University
历史忠诚	Hub culture
丽泽SOHO	Transport hub (duplicate label in data)
联想	Campus and science education
辽金北京	Peach Blossom Land
林大	Plant biodiversity
玲珑公园	Zhengyang Gate
流动窗口	Folk culture
流线型建筑	Ethnic exchange
琉璃厂	Minzu University of China
卢沟桥	Ethnic minority architecture
鲁迅故居	Folk art
媒体中心	Water Cube
煤机厂遗迹	Yongle Encyclopedia
美食市井	Yongle Bell
美术殿堂	Yong'an Wanshou Pagoda
民间艺术	Yongding River landscape
民俗文化	Yongding Gate tower
民族大学	Immersive experience
民族建筑	River channel restoration
民族交融	Fahai Temple murals
名士故居	Fayuan Temple
名亭胜迹	Gateway of mobility
明代灯市	Streamlined architecture
明代古塔	Crabapple blossom stream
摩天大楼	Hailong and Dinghao electronics-mall nostalgia
暮鼓晨钟	Late-night food haven
南城文化	Qing dynasty princess
尼泊尔工匠	Tsinghua University
鸟巢	Qingyi Garden
农大	Mosque
朋克设计	Halal cuisine
祈福	Greenhouse exhibitions
祈年殿	Waterfront recreation
千年礼拜寺	Riverside night stroll
千年运河	Concerts
乾隆诞生地	Small performance theaters
亲子游	Performing arts hall
青年活力	Canal grain transport history
青年文化	Trend frontier
青年消费	Youth trend outpost
青年学生	Trend showcase
清代格格	Trend and Creative Arts
清华大学	Railway station culture
清漪园	Coal machinery plant ruins
清真美食	Randeng Pagoda
清真寺	Yan Yuan campus
区域连接	Specialty food
全聚德	Princely mansions
燃灯塔	Princely mansions and noble seats
人民日报总部	Universal Beijing Resort
荣宝斋	Modern landmarks
软件园	Modern architecture
赛博朋克	Modern campus
三里河	Water-drop modern architecture
三里屯	Modern art
三山五园	Linglong Park
商业街区	Liulichang culture street
奢侈品天花板	Eco leisure
深夜食堂	Lifestyle and texture
审美中心	Electronics bazaar transformation
生活质感	Movie IPs
生态闲情	Gallery district
石刻博物馆	White Dagoba
石刻艺术	White Dagoba and red walls
时尚橱窗	Bai Liansheng's former residence
时尚社区	White-collar professionals
时尚生活	Century-old zoo
时尚消费	Century-old business district
时尚秀场	Beijing Department Store
时尚中心	Imperial legacy
使馆区	Imperial garden
世界园林集萃	Imperial burial site
首钢园北区	Imperial craftsmanship
书画艺术	Imperial forest park
书山建筑	Imperial water system
枢纽枢纽	Imperial sacrificial rites
枢纽文化	Imperial summer retreat
双奥遗产	Academic and Knowledge Hubs
双清别墅	Hall of knowledge
水立方	Stone carving museum
税关历史	Stone carving art
四合院	Silicon Valley complex
苏式风格	Hardcore tech
锁龙井	Porcelain trade history
锁龙井传说	Hall of Prayer for Good Harvests
桃花源	Prayers for blessings
特色美食	Rain-prayer rituals
体育地标	Sacrificial altar complex
体育竞技	Detached imperial garden
天桥艺术中心	Sci-fi exhibition hall
天圆地方	Tech geek scene
天主教堂	Science outreach
图书大厦	Historic tax gate
徒步圣地	Basketball mecca
土城墙	Guijie Food Street
驼铃古道	Guijie cuisine
宛平城	Forbidden City (Purple City)
万园之园	Echoes of old prosperity
王府	Red autumn leaves
王府官邸	Dream of the Red Chamber
网红打卡地	Red-brick architecture
望京SOHO	Red heritage
未来感建筑	Viral photo hotspot
未来科技	Fine art palace
未名湖	Food and Street Life
温室展览	Old Beijing courtyard blocks
文房四宝	Old south city history
文化更新	Old south city culture
文艺打卡	Historic shopping belt
卧佛寺	Old city wall ruins
戊戌变法	Old city renewal
西单明珠	Old City Heritage
现代地标	Time-honored brands
现代建筑	Heritage brand cuisine
现代水滴建筑	Historic residential blocks
现代校园	Old hutongs
现代艺术	Lenovo
向日葵海	Hutong creativity
宵夜文化	Hutong cafés
校园科教	Hutongs and lane houses
新中国建筑	Hutong waterscapes
行业专题馆	Deep hutong stories
学生派对	Hutong daily life
学术殿堂	Unrelenting self-improvement (Tsinghua motto)
学术氛围	Natural landscapes
学术林海	Aerospace culture
学术新城	Boatmen's work songs
寻宝文化	Art park
演唱会	Masters of art
演艺殿堂	Soviet neoclassical style
演艺小剧场	Heroes memorial wall
燕园	Rongbaozhai
野餐圣地	Tibetan Buddhism
夜生活	Industry-themed museums
颐和园	Tomb of Yuan Chonghuan
艺术大师	Xidan Mingzhu Mall
艺术园区	Shopping mall
银锭观山	Shopping paradise
银河SOHO	Aristocratic lane ambience
英雄墙	Cyberpunk aesthetic
硬核科技	Software park
永安万寿塔	Liao–Jin era Beijing
永定河景观	Canal park
永定门城楼	Jinchun Garden
永乐大典	Suburban life
永乐大钟	Country parks and hills
优雅生活	Urban vitality
悠闲生活	Bar street
娱乐盛宴	Heavy weapons
宇宙中心	Picnic paradise
御道复原	Financial center
元大都遗址	Financial new town
元代胡同	Financial core
园博会	Golden Street
园林遗迹	King of bells
园林艺术	Bell and Drum Towers
袁崇焕墓	Steel culture
运河公园	Galaxy SOHO
杂技民俗	Silver Ingot view of hills
扎哈·哈迪德	Dragon-lock Well
正阳门	Dragon-lock Well legend
知识殿堂	Off-peak visiting
知行学府	Student youth
植物多样性	Youth culture
中国硅谷	Youth energy
中国尊	Youth consumer culture
中海广场	Jingyi Garden
中信大厦	Intangible heritage trade
中轴线	Intangible heritage culture
中轴线南端点	Heritage crafts and old brands
中轴线全景	Revolutionary sacred site
钟鼓楼	Revolutionary landmark
钟王之王	Korean community
重型武器	Summer Palace
主题乐园	Shougang Park North Zone
紫禁城	Camel-bell ancient road
字节跳动	Higher-education belt
自强不息	Gao Junyu and Shi Pingmei memorial
自然景观	Prestigious universities
宗教建筑	High-speed rail gateway
CBD	HSR hub gateway
CBD东拓	High art
CBD门户	Lu Xun's former residence
CCTV总部	Bird's Nest (National Stadium)
SKP	Gelug (Yellow Hat) monastery
