圆明园	曾被誉为“万园之园”，现在的断壁残垣诉说着那段令人反思的历史，是寻找皇家园林遗韵的静谧地。	Once the "Garden of Myriad Gardens"—today's ruins invite reflection; a quiet place to feel lost imperial splendor.
北京大学东门	中国最高学府之一，校园前身为清代皇家园林。这里不仅有浓厚的学术氛围，还有优美的燕园山水。	One of China's top universities on a former Qing imperial garden—rigorous scholarship meets graceful Yan Yuan landscapes.
国家图书馆	亚洲最大的图书馆之一。现代化的建筑内部构造如同书山，收藏了大量珍贵的古籍善本与现代文献。	One of Asia's largest libraries—a "mountain of books" inside, with rare classics and modern collections.
动物园	中国历史最悠久的动物园。这里承载了几代北京人的童年回忆，也是了解生物多样性的科普基地。	China's oldest public zoo—childhood memories for generations and a window on biodiversity.
平安里	地处老北京核心区，周边遍布纵横交错的胡同。这里保留了最地道的生活气息和丰富的平民美食。	Heart of old Beijing—dense hutongs, authentic neighborhood life, and hearty everyday food.
天坛东门	世界文化遗产，古代皇帝祭天、祈求丰年的神圣场所。其独特的蓝色琉璃瓦圆形建筑是中国文化的标志之一。	UNESCO site where emperors prayed for harvest—blue-glazed round halls that symbolize Chinese state ritual.
磁器口	曾是瓷器交易中心。近期复建了曹雪芹故居（十七间半），让这里成为了《红楼梦》文学爱好者的打卡地。	Once a porcelain market—the restored Cao Xueqin home draws Dream of the Red Chamber fans.
灯市口	明代这里是元宵节灯市中心。如今周边汇聚了众多外交官和商界精英，保留了老北京的高雅与从容。	Ming-era Lantern Festival hub—now diplomats and elites amid enduring Beijing refinement.
北新桥	邻近著名的簋街，是北京最火爆的深夜食堂聚集地。这里的“锁龙井”传说也为站点增添了一抹神秘色彩。	Beside legendary Guijie—late-night food capital; tales of the "dragon-lock well" add mystery.
南锣鼓巷	全北京人气最旺的胡同。这里完整保存了元代的街巷格局，汇聚了无数特色小店和文艺青年。	Beijing's busiest hutong block—Yuan-era lanes, indie shops, and creative youth.
北海北	通往最古老的皇家园林——北海。湖畔白塔、壮丽九龙壁，以及“让我们荡起双桨”的回忆都汇聚于此。	Gateway to Beihai—the oldest imperial lakeside park; white dagoba, Nine-Dragon Wall, and "row the boat" nostalgia.
朝阳门	以流线型的银河SOHO建筑闻名，展现了现代北京的前卫面貌。这里是传统胡同与未来感建筑的交界点。	Famous for Zaha Hadid's Galaxy SOHO—futuristic face of Beijing where hutongs meet sci-fi curves.
呼家楼	紧邻举世闻名的央视大楼“大裤衩”。这里是北京的传媒与金融心脏，现代建筑群极其震撼。	Neighbors the iconic CCTV Tower—media and finance heart with a jaw-dropping skyline.
奥林匹克公园	北京中轴线北端的明珠。在这里可以一览2008与2022两届奥运会的标志性场馆，感受现代体育精神。	North-axial showcase of 2008 and 2022 Olympic landmarks—modern sports spirit on full display.
什刹海	北京最浪漫的水域。周边遍布名胜古迹与历史名人故居，夜晚则是灯火通明的酒吧娱乐区。	Romantic lakes and canals—historic sites and celebrity homes by day, neon bar strips by night.
鼓楼大街	曾是古城的报时中心。在这里你可以登楼远眺，领略北京中轴线的壮阔，感受胡同里的慢节奏生活。	Old city's timekeeping quarter—climb Bell and Drum towers for the axis panorama and slow hutong life.
中国美术馆	中国唯一的国家级现代艺术馆，展示了无数近现代中国画和油画精品。其建筑本身就是中西合璧的典范。	China's national art museum—masterworks of modern Chinese painting in a Chinese–Western hybrid building.
珠市口	中轴线上连接南北城的重要节点。附近有著名的丰泽园饭店和传统戏曲演出场所，保留了浓郁的京味儿文化。	Axis node tying north and south—Fengzeyuan dining and traditional opera keep strong old-Beijing flavor.
天桥	老北京民间技艺的发源地。现在已转型为现代化的演艺区，在这里能看到最精彩的杂技表演和先锋话剧。	Cradle of folk performance arts—today a modern stage for acrobatics and cutting-edge drama.
宛平城	1937年“七七事变”的发生地。卢沟桥上的石狮子和宛平城的弹痕记录了那段英勇抗争的历史。	Site of the 1937 Marco Polo Bridge Incident—stone lions and fortress walls remember the war of resistance.
香山	驰名中外的红叶观赏胜地，也是清代皇家“三山五园”之一。双清别墅曾是建国前夕的重要办公地。	World-famous red-leaf mountains and a Qing "Three Hills and Five Gardens" estate—Shuangqing Villa hosted pre-founding state work.
将台	由旧工厂车间华丽转身的世界级艺术社区。在这里你可以探访各种先锋展览，体验极致的工业风与艺术碰撞。	798—factory halls turned global art quarter—industrial grit meets avant-garde galleries.
望京	北京最大的韩国人聚居区，充满了浓郁的异国情调和现代感。扎哈设计的望京SOHO更是这里的视觉中心。	Beijing's largest Korean quarter—global vibe; Wangjing SOHO as visual anchor.
环球度假区	世界级电影主题度假区。这里集合了哈利波特、功夫熊猫等经典电影场景，提供全方位的梦幻娱乐体验。	World-class movie-resort—Wizarding World, Kung Fu Panda sets, total immersion.
亮马桥	北京城市更新的样板。亮马河畔的咖啡厅和艺术装置营造了极具品质的滨水休闲氛围。	Model riverfront renewal—Liangma River cafés and art for quality waterfront leisure.
团结湖	这里是北京的潮流风向标。三里屯的灯红酒绿、先锋时装与独特的使馆区氛围在此完美交汇。	Beijing's trend vane—Sanlitun lights, fashion fronts, and embassy-zone atmosphere converge.
国贸	北京的CBD核心。摩天大楼林立，是中国尊的最佳观测点，象征着中国融入全球经济的最前沿。	CBD core—forest of towers, prime China Zun views, symbol of China's global business pulse.
潘家园	中国名气最大的古玩市场所在地。在这里你可以感受充满市井气的“鬼市”和博大精深的民间艺术品文化。	China's most famous curio market—"ghost market" buzz and deep folk-art culture.
五道口	被戏称为“宇宙中心”。这里汇聚了清华、北语等名校，是多元文化冲撞和最硬核科技思维的结合部。	Nicknamed "center of the universe"—Tsinghua, BLCU, and more; multicultural clash and hard-tech mindset.
模式口	京西古道的起点。这里保留了驼铃古道的历史风貌，附近的法海寺明代壁画更是震撼人心的国宝。	Start of the western old caravan road—camel-bell scenery; Ming murals at Fahai Temple are national treasures.
牛街	北京最著名的回民聚居区。这里有历史悠久的牛街礼拜寺，更是北京清真小吃的极致味觉中心。	Famous Hui quarter—historic mosque and ultimate halal snack pilgrimage.
菜市口	晚清历史的见证地。曾是著名的刑场和文化街，周边留存有大量士子故居与早期报业遗迹。	Late-Qing witness—once execution ground and literary street; scholars' homes and early press sites remain.
陶然亭	中国四大名亭之一所在地。不仅有精美的园林建筑，还是早期中共领导人秘密会晤的红色遗址。	One of China's four famous pavilions—graceful garden and an early CCP secret-meeting red site.
北土城	元代大都北侧城墙遗址。每年春天的“海棠花溪”美不胜收，土城遗址则静静守护着元代城市的记忆。	Yuan Dadu's north wall line—spring "crabapple river" splendor; earthen ramparts guard Yuan memory.
北京南站	北京规模最大的综合性高铁客运站。其巨大的穹顶设计宛如一架降落的飞碟，象征着中国速度。	Beijing's largest integrated HSR terminus—a flying-saucer dome symbolizing China speed.
奥体中心	1990年亚运会主战场。这里见证了中国体育崛起的每一个台阶，充满怀旧气息的场馆依然承载着竞技精神。	Main stage of the 1990 Asian Games—nostalgic arenas still throb with competitive spirit.
中关村	中国科技创新的心脏。从昔日的“中关村大街”到如今的全球创业高地，这里代表了中国的未来。	Heart of China's innovation—from "Zhongguancun Street" to a global startup summit—China's future in one strip.
朝阳公园	北京四环内最大的城市公园。周边的凤凰中心以其莫比乌斯环结构成为当代建筑艺术的佳作。	Biggest park inside the Fourth Ring—Phoenix Center's Möbius loop as contemporary architecture icon.
金台路	人民日报社所在地，其独特的建筑外型曾在网上引发热议。这里是北京传媒圈的地理坐标。	People's Daily HQ—a debated silhouette anchoring Beijing's media geography.
景泰	得名于国宝级艺术品——景泰蓝。附近建有景泰蓝博物馆，可以近距离观看点蓝、掐丝等繁复的手工艺过程。	Named for national-treasure cloisonné—museums demonstrate wire-inlay and enameling up close.
慈寿寺	站旁矗立着明代玲珑塔，曾是万寿寺的一部分。古塔威严，夕阳下颇有“玲珑夕照”的古都韵味。	Ming Linglong Pagoda beside the line—once part of Wanshou Temple; "Linglong sunset" city mood.
东四	这里保留了最具“皇家贵气”的胡同区。东四头条到十四条，每条巷子都藏着不为人知的显赫历史。	Hutongs with an imperial aristocratic air—Dongsi First to Fourteenth Alleys hide storied mansions.
大钟寺	因收藏有巨大的“永乐大钟”而闻名。钟体刻满佛经，声闻数十里，是中国铸造史上的奇迹。	Home of the giant Yongle Bell—Buddhist sutras cast in bronze heard for miles—a casting marvel.
常营	东边最出名的美食聚集地之一。这里的常营清真寺历史悠久，周边更有数不清的地道清真餐馆。	Eastern food mecca—historic mosque and endless halal eateries.
魏公村	紧邻中央民族大学。这里汇聚了全国各民族的学生，周边的餐厅提供了极具特色的新疆、西藏等地方风味。	Beside Minzu University—students from every ethnicity; Xinjiang, Tibetan, and more on the plate.
良乡大学城	北京南部的学术引擎。数所重点大学的分校在此聚集，形成了一座充满朝气的现代书院之城。	Southern academic engine—major university branches form a brisk modern college town.
通州北关	京杭大运河的北端起点。昔日漕运繁忙的码头，如今已成为北京副中心生态与历史的交汇点。	North terminus of the Grand Canal—grain wharves of old meet sub-center ecology and history.
森林公园南门	北京最大的城市公园入口。这里是徒步爱好者的天堂，大片的湿地与森林为快节奏的城市提供了呼吸空间。	Gateway to Beijing's biggest urban forest park—wetlands and woods for hikers escaping the rush.
北新桥	这里是北京夜生活的灵魂之一，附近的簋街红灯笼高挂，热辣的小龙虾是夏夜永恒的主题。	Soul of Beijing nightlife—Guijie red lanterns and spicy crayfish define summer nights.
大望路	北京乃至亚洲的高端百货之冠。SKP商场不仅是购物中心，更是国际时尚品牌展示的首选舞台。	SKP crown of regional luxury retail—runway for global fashion, not just a mall.
西单	北京传统的青春商业地标。这里既有高端购物广场，也有充满怀旧感的学生市场，是北京流行的试验田。	Classic youth retail landmark—malls and nostalgic student bazaars, Beijing's pop laboratory.
金安桥	首钢园的另一个重要入口。这里的旧工业构筑物被巧妙改建为办公与艺术空间，充满了硬核的科幻美感。	Another Shougang Park entry—blast furnaces reborn as offices and art, raw sci-fi edge.
白塔寺(阜成门)	拥有元代由尼泊尔匠人监造的雄伟白塔。周边的胡同通过微更新，成为了北京最具格调的文艺打卡地。	Yuan white dagoba by Nepalese masters—refreshed hutongs and Lu Xun memory make a literary-arts lane.
和平门	紧邻著名的琉璃厂古玩街。这里是中国书画和古籍交易的中心，散发着浓郁的书卷气和历史感。	Against Liulichang curio street—center for scrolls, rare books, and Rongbaozhai heritage.
双井	北京东部的优质宜居与消费中心。这里有极高的生活便利度和丰富的餐饮文化，是都市中产的生活缩影。	Eastern sweet-spot for living and spending—convenience and dining mirror middle-class Beijing.
广安门内	地处北京建城的核心区。附近的法源寺以丁香花和深厚的佛学底蕴闻名，是了解老北京南城的活名片。	Core of old city founding—Fayuan Temple lilacs and Buddhist depth explain south Beijing.
永定门外	北京中轴线的南起始点。宏伟的永定门城楼巍然矗立，标志着北京城古老布局的延伸与完整。	South anchor of the Central Axis—Yongding Gate tower completes the old cosmological layout.
桥湾	北京通过“河道复原”打造的胡同水系公园。在这里可以体验到消失已久的“小桥流水胡同人家”景观。	Canal-restored hutong waters—"small bridge, flowing water, hutong homes" reborn.
广渠门内	抗清名将袁崇焕的墓祠所在地。一段感天动地的忠义故事与两代人的守墓传奇，让此地充满了悲剧美感。	Tomb shrine of Ming loyalist Yuan Chonghuan—loyalty and two generations of tomb-keeping add tragic beauty.
丽泽商务区	北京西南部正在崛起的新金融中心。扎哈设计的丽泽SOHO拥有世界最高的垂直中庭，极其科幻。	Rising southwest CBD—Zaha Hadid's LiZe SOHO and record vertical atrium feel pure sci-fi.
北京南站	作为中国最先进的高铁站之一，其宏大的椭圆设计象征着时代的飞速前进，是数亿旅客北京行的第一站。	Among China's most advanced HSR stations—oval megastructure marks an era of high-speed arrival.
园博园	一座汇集了全国及世界各地园林艺术精品的大型公园。通过永定河生态修复，展现了人工与自然的共鸣。	Mega-park of national and world garden arts—Yongding River repair harmonizes nature and design.
国家植物园	中国首个国家植物园。这里不仅有先进的植物温室，还有历史悠久的唐代古刹卧佛寺，是自然与文化的双重殿堂。	China's first national botanical garden—modern glasshouses and Tang-era Wofo Temple, nature plus culture.
颐和园西门	颐和园最静谧的入口。从此进入可以直接漫步西堤，仿西湖而建的堤岸在春季桃花盛开时美如画卷。	Summer Palace's quietest gate—west embankment like Hangzhou's West Lake, peach blossoms in spring.
清华东路西口	邻近中国顶级理工学府——清华大学。校园内融合了美式学院风格与中式古典皇家园林，气质沉稳隽永。	Beside top STEM Tsinghua—American collegiate forms meet Qing garden grace, calm and enduring.
大望路	北京东部的时尚地标。SKP不仅是世界级的奢侈品聚集地，更是北京精英阶层消费文化的集中体现。	Eastern fashion pole—SKP as global luxury podium for elite consumption culture.
柳芳	这里曾是典型的老工业大院区。随着城市更新，保留了浓厚的老北京社区人情味和地道的邻里小店。	Once industrial courtyard blocks—renewal keeps neighborly warmth and corner shops.
中关村	中国数字时代的缩影。这里孕育了无数知名的互联网大厂，是所有科技发烧友来到北京的必看地。	Portrait of China's digital age—tech giants born here; geek mecca for visitors.
知春路	邻近航空航天大学。这里是北京高科技人才密度最高的地方之一，街道两旁充满了快节奏的进取精神。	Near aerospace universities—dense tech talent, ByteDance and Lenovo pace, ambition on every corner.
新首钢	旧钢厂的高炉成了最酷的时尚秀场。这里不仅是北京城市更新的教科书级案例，还是未来科幻产业的孵化地。	Blast furnaces as runways—Shougang renewal textbook and incubator for sci-fi industry.
六道口	周边高校林立，如农大、林大等。这里被郁郁葱葱的学术气息包围，有着北京最丰富的校园消费文化。	Ringed by CAU, BFA, and more—green campus mood and rich student retail life.
北运河西	北京东部的“水脉”入口。在这里，你可以看到运河文化的现代化重生，感受千年漕运与未来新城的共鸣。	Eastern "water artery"—modern canal culture reborn between millennial shipping and future city.
大望路	这里是北京商业能量最集中的地方。无论是奢侈品牌还是潮流趋势，在大望路总能找到世界级的视角。	Raw commercial energy—luxury labels and trends meet world-class window-shopping.
